Title,Module/Category,Product Family,Description,Proposed Type,Status,Hardcoded Values Found,What Would Need to Become Configurable,RBAC/Permissions Involved,Dependencies,Open Questions
Proxy Auth Middleware,Security,Odisha HUDD Finance & Governance Dashboard,Unauthenticated requests to non-public routes are redirected to /login; authenticated users hitting /login go to /dashboard.,Standard,Draft,proxy.ts PUBLIC_PATHS=/login; base path /hudd-dashboard,Public path list; cookie secure flags behind reverse proxy,JWT session cookie,Keycloak SSO Sign-In,API routes rely on per-route RBAC rather than the proxy — intentional?
Read-Only Watermark,Security,Odisha HUDD Finance & Governance Dashboard,Shows a visual Read Only watermark when the signed-in user has none of the configured mutation permissions.,Capability,Draft,components/AppShell.tsx watermark text Read Only,EDIT_SIGNALS permission list in src/lib/read-only-watermark.ts; watermark copy,Inverse of ENTER_*/MANAGE_*/APPROVE_*/UPLOAD_PROOF/REORDER_SCHEMES etc.,Server-Side Permission Resolution,Watermark is visual only and does not enforce server-side restrictions.
Audit Logging (Write Path),Security,Odisha HUDD Finance & Governance Dashboard,"Writes structured audit rows (actor, action, entity, before/after, request metadata) for sensitive admin and workflow mutations.",Standard,Draft,None,Retention policy; which actions must be audited; export format,System (no dedicated permission),lib/audit.ts; AuditLog model,No in-app audit viewer or export — is DB/ops access the intended compliance path?
Scheme Registry List & Overview,Scheme Registry,Odisha HUDD Finance & Governance Dashboard,"Browse schemes with budget/SO/IFMS summary, KPI counts, assignments, and Active/Archived filters; opens progress analytics.",Capability,Draft,app/schemes/page.tsx:17 (₹ Cr formatting); SO/IFMS column labels are Odisha finance-system terms,"Currency unit (Crore), SO/IFMS terminology, vertical naming",VIEW_ALL_DATA or VIEW_ASSIGNED_DATA (API); page is auth-only,Financial Year; FinanceBudget; FinanceExpenditureSnapshot; KPI definitions,VIEW_ASSIGNED_DATA currently still returns all schemes on overview — filter intended?
Scheme Create & Edit,Scheme Registry,Odisha HUDD Finance & Governance Dashboard,"Create or edit a scheme (code, name, vertical, sponsorship type) including default owner assignments and optional subschemes.",Capability,Draft,"components/schemes/SchemeFormModal.tsx:415,426-428 (vertical examples; STATE/CENTRAL/CENTRAL_SECTOR/NON_FINANCIAL labels)",Sponsorship taxonomy; free-text vertical vs managed Verticals master; assignment kinds,MANAGE_SCHEMES,Scheme Ownership Assignments; Subscheme Management,Sidebar Create Schemes is TASU-only while MANAGE_SCHEMES is ACS-seeded — likely RBAC/nav bug.
Scheme Archive & Delete,Scheme Registry,Odisha HUDD Finance & Governance Dashboard,"Soft-archive schemes for day-to-day lists, or permanently delete a scheme (cascading related rows).",Capability,Draft,None,Archive vs delete policy; cascade safety checks,MANAGE_SCHEMES,Scheme Create & Edit,
Scheme Ownership Assignments,Scheme Registry,Odisha HUDD Finance & Governance Dashboard,"Configure per-scheme default owners: dashboard priority, KPI entry/review fallbacks, and action-item performer/reviewer templates (user or role).",Capability,Draft,None,Assignment kind vocabulary; whether action_item_owner_* should enforce anything,MANAGE_SCHEMES,User/Role catalogs; KPI Access Rules; Dashboard Priority,kpi_owner_2 and action_item_owner_* are stored in UI but largely unused by enforcement — intentional templates or incomplete?
Subscheme Management,Scheme Registry,Odisha HUDD Finance & Governance Dashboard,Add subschemes when creating a scheme or append one to an existing scheme; reorder via admin. Update/delete exist as APIs without registry UI.,Capability,Draft,None,"Whether subschemes are mandatory for financial entry when present (they are, in APIs)",MANAGE_SCHEMES (CRUD); REORDER_SCHEMES (order),Scheme Create & Edit; Scheme & Subscheme Reorder,Subscheme edit/delete UI is missing despite APIs — treat as incomplete Capability?
Scheme & Subscheme Display Order,Scheme Registry,Odisha HUDD Finance & Governance Dashboard,Admin screen to set the global display order of schemes and their subschemes for all users.,Capability,Draft,None,Ordering scope (global vs per-role),REORDER_SCHEMES,Scheme Registry List,
Scheme Progress & Analytics Modal,Scheme Registry,Odisha HUDD Finance & Governance Dashboard,"Drill-down modal showing a scheme’s FY financials, IFMS trend, subscheme breakdown, and KPI progress; reused from registry, Command Centre, and schemes board.",Capability,Draft,"components/schemes/SchemeModal.tsx:26,361-370,487 (₹ Cr, SO, IFMS labels)",SO/IFMS labels; chart units,VIEW_ALL_DATA or VIEW_ASSIGNED_DATA,Financial snapshots; KPI measurements; Dashboard Meetings,
Financial Overview Dashboard,Financial Progress,Odisha HUDD Finance & Governance Dashboard,"FY overview of total budget, SO, IFMS, utilisation, funding-source chart, IFMS timeseries, period comparison, and per-scheme utilisation table.",Capability,Draft,app/financial/FinancialOverviewClient.tsx (₹/Crores; Indian FY category labels State Sector / Centrally Sponsored / etc.),"Currency (₹ Cr), Indian FY category taxonomy, comparison presets",VIEW_ALL_DATA or VIEW_ASSIGNED_DATA,FY Budget Allocation; Expenditure Snapshots; Finance Summary Heads,Overview always uses latest FY by endDate — need FY picker?
Scheme Budget vs Expense Board,Financial Progress,Odisha HUDD Finance & Governance Dashboard,"Kanban/list board that buckets schemes by IFMS utilisation versus hardcoded Indian FY quarterly targets (25/15/20/40%), with sponsorship filters.",Capability,Draft,app/financial/schemes-board/SchemesBoardClient.tsx:72-85 (quarter weights & Apr–Mar calendar); ₹ formatting; SS/CSS/CS abbreviations,"Quarterly target weights, fiscal calendar, risk thresholds, sponsorship abbreviations",VIEW_ALL_DATA or VIEW_ASSIGNED_DATA,Financial budgets list API; Scheme Progress Modal,Quarter targets are hardcoded — should they be admin-configurable?
Scheme-wise Financial Entry (SO/IFMS Snapshots),Financial Progress,Odisha HUDD Finance & Governance Dashboard,Enter or update scheme/subscheme SO and IFMS expenditure as dated snapshots linked to a dashboard meeting (draft or submitted).,Capability,Draft,app/financial/entry/scheme/page.tsx (₹ / en-IN formatting; SO/IFMS labels),SO/IFMS field names; meeting-required rule; auto-submit behaviour for FA,ENTER_FINANCIAL_DATA (API); ENTER_FINANCIAL_DATA or MANAGE_FINANCIAL_DATA (page),Dashboard Meetings; Schemes/Subschemes; Financial Year,APPROVE_FINANCIAL exists but financial snapshots have no review workflow — Capability vs unused Standard?
Budget Revision & Supplements,Financial Progress,Odisha HUDD Finance & Governance Dashboard,"Revise annual budget estimates with reason history, and post signed top-up/cut supplements against a scheme/subscheme for the FY.",Capability,Draft,None beyond ₹ Cr labels on entry screens,Whether budget edits require MANAGE vs ENTER; supplement reference-number conventions,UI gated by MANAGE_FINANCIAL_DATA; APIs largely ENTER_FINANCIAL_DATA,Scheme-wise Financial Entry; FinanceBudget / FinanceBudgetSupplement models,MANAGE_FINANCIAL_DATA is defined but not seeded to any role — UI may be unreachable by default.
FY Summary / Category Allocation Entry,Financial Progress,Odisha HUDD Finance & Governance Dashboard,"Edit manual FY category lines (State/Union Finance Commission, Other Transfer Stamp Duty, Admin Expenditure); scheme buckets are derived from scheme data.",Capability,Draft,lib/finance-year-budget-allocation.ts:31-38 (Indian category labels),FinanceYearBudgetCategory enum set and display labels; mapping from SponsorshipType,ENTER_FINANCIAL_DATA or MANAGE_FINANCIAL_DATA,FinanceYearBudgetAllocation models; scheme sync,Dual models (FY allocation lines vs dated FinanceSummaryHead) — clarify operator workflow.
Bulk Financial Entry,Financial Progress,Odisha HUDD Finance & Governance Dashboard,Spreadsheet-style grid to post SO/IFMS deltas or budget supplements across many schemes/subschemes in one pass.,Capability,Draft,app/financial/entry/bulk/page.tsx (₹ Cr headers),Grid columns; permission required to use bulk,MANAGE_FINANCIAL_DATA only,Scheme-wise Financial Entry; Budget Revision & Supplements,Unreachable unless MANAGE_FINANCIAL_DATA is manually granted — confirm intended owners.
Financial Years Administration,Financial Progress,Odisha HUDD Finance & Governance Dashboard,"Create and edit financial year labels and date ranges used across finance, KPI targets, and meetings.",Standard,Draft,app/admin/financial-years/page.tsx:139 (placeholder 2026-27); Indian Apr–Mar FY helpers in Sidebar,FY calendar convention (Apr–Mar); label format,MANAGE_FINANCIAL_YEARS,Most financial and KPI features,Public GET /api/v1/financial-years appears ungated — intentional?
Execution Efficiency Dashboard (Dormant Mock),Financial Progress,Odisha HUDD Finance & Governance Dashboard,Static mock analytics page comparing financial vs physical progress for named urban schemes; sidebar nav is commented out but route still exists.,Capability,Draft,"app/financial/execution-efficiency/ExecutionEfficiencyClient.tsx:21-264 (PMAY-U, MSBY, SUJALA, SBM and static Odisha figures)",Entirely mock — would need real data model or removal,VIEW_ALL_DATA or VIEW_ASSIGNED_DATA,None (no live API),Exclude from product Capability set until wired to live data? Currently demo/placeholder only.
KPI Monitoring Dashboard,KPIs,Odisha HUDD Finance & Governance Dashboard,"List and filter KPIs by workflow status (including Pending Review and Archived), with scheme focus analytics and staleness/escalation signals.",Capability,Draft,app/kpis/page.tsx:426 (HUDD header); escalation labels Needs ACS decision (ACS role-specific wording),Department header label; escalation vocabulary; monitoring-level labels,Authenticated view; API VIEW_ALL_DATA or VIEW_ASSIGNED_DATA; review actions need APPROVE_KPI,KPI Definitions; KPI Measurement Entry; KPI Review,
KPI Definition Create & Edit,KPIs,Odisha HUDD Finance & Governance Dashboard,"Define KPIs on a scheme/subscheme (OUTPUT/OUTCOME/BINARY), units, monitoring level (CS/ACS/CM), performers/reviewers, and optional FY denominator target.",Capability,Draft,components/kpis/EditKpiModal.tsx:14-18 and AddKpiModal (CS/ACS/CM monitoring levels — Odisha hierarchy),Monitoring levels; KPI type set; category STATE/CENTRAL derivation from sponsorship,MANAGE_SCHEMES,Scheme Registry; KPI Targets; User directory,Self-approved KPIs auto-mark measurements reviewed — confirm policy.
KPI Owner Reassignment,KPIs,Odisha HUDD Finance & Governance Dashboard,"Reassign performers and reviewers for an existing KPI definition, including self-approved mode.",Capability,Draft,Nodal Officer self-approve warning copy in Add/Reassign flows,Self-approve rules for nodal officers,MANAGE_SCHEMES,KPI Definition Create & Edit,
KPI Target Denominator (FY),KPIs,Odisha HUDD Finance & Governance Dashboard,Set the financial-year denominator/target for a KPI; locked after first set unless a schemes manager overrides.,Capability,Draft,None,Lock-after-set policy; which roles may override,ENTER_KPI_DATA + performer (or MANAGE_SCHEMES override),KPI Definitions; Financial Years,No dedicated targets admin UI — targets are edited via definition/entry flows only.
KPI Measurement Entry,KPIs,Odisha HUDD Finance & Governance Dashboard,"Assignees enter OUTPUT numerators, OUTCOME remarks, or BINARY yes/no for the latest/selected meeting and submit for review (or auto-complete if self-approved).",Capability,Draft,None beyond generic UI,Non-decrease validation for OUTPUT; meeting linkage rules,ENTER_KPI_DATA + performer/kpi_owner_1 (or MANAGE_SCHEMES),Dashboard Meetings; KPI Targets,progressStatus is forced on_track on create — delayed/overdue signals may be stale.
KPI Review & Approval,KPIs,Odisha HUDD Finance & Governance Dashboard,Designated reviewers (or MANAGE_SCHEMES) approve or reject submitted KPI measurements with notes from monitoring or entry screens.,Capability,Draft,None,Who may review (per-KPI list only today; scheme kpi_owner_2 ignored),APPROVE_KPI + per-KPI reviewer assignment,KPI Measurement Entry,TASU My Tasks may show review shortcuts without seeded APPROVE_KPI — confirm.
KPI Escalation Flags,KPIs,Odisha HUDD Finance & Governance Dashboard,"API supports bottleneck reason and escalation flags (including Needs ACS decision); monitoring can display them, but entry UI for setting flags is commented out.",Capability,Draft,Escalation label Needs ACS decision on monitoring UI,Escalation flag vocabulary; which roles may set flags,FLAG_KPI_ESCALATION,KPI Measurement Entry; KPI Monitoring Dashboard,"Half-disabled: API live, primary entry UI commented out — ship, finish, or remove?"
Meeting Calendar & CRUD,Meeting Organizer,Odisha HUDD Finance & Governance Dashboard,"List, schedule, view, edit, and delete dashboard meetings with title, date, financial year, notes, and discussion topics.",Capability,Draft,app/meetings/page.tsx:128 (HUDD dashboard meetings copy),Meeting naming conventions; which roles may open the meetings page,Page roles TASU/VERTICAL_HEAD/ACS; create/edit CREATE_ACTION_ITEMS or MANAGE_SCHEMES; delete MANAGE_SCHEMES; API read VIEW_*,Financial Years; Meeting Topics,FA/NODAL blocked from meetings page by role even if they hold view permissions — intentional?
Meeting Materials & Presentations,Meeting Organizer,Odisha HUDD Finance & Governance Dashboard,"Upload, list, preview, and delete meeting presentation files (PDF/Office); serves files from local storage via a public app path marketed as a signed URL.",Capability,Draft,None client-branding specific,Storage backend (local disk vs object storage); allowed MIME types; 50MB limit; Office Online dependency for PPTX preview,CREATE_ACTION_ITEMS or MANAGE_SCHEMES (mutate); VIEW_* (read),Meeting Calendar & CRUD; local-file-storage,signed-url is not cryptographically signed — security review needed for air-gapped vs internet deployments.
Active Meeting Mode,Meeting Organizer,Odisha HUDD Finance & Governance Dashboard,"Full-screen live meeting overlay with timer, agenda (client-only discussed ticks), presentations, finance/KPI/action panels, since-last-meeting deltas, and Urban Assistant.",Capability,Draft,lib/assistant-query.ts:45 (HUDD in assistant copy when embedded),Which panels are available; whether discussed topics should persist,Inherited from meetings page roles; create-from-meeting needs CREATE_ACTION_ITEMS,Financial Overview APIs; KPI list; Action Items; Conversational Assistant; Meeting Materials,No server-side in-progress meeting state; discussed topics are session-only.
Create Action Item from Meeting,Meeting Organizer,Odisha HUDD Finance & Governance Dashboard,"From live meeting mode, create an action item pre-linked to the current meeting with assignee/reviewer options.",Capability,Draft,None,Default itemType (always action_item today),CREATE_ACTION_ITEMS,Action Item Lifecycle; Meeting Calendar,No UI to create meeting_decision type despite schema enum.
Action Item List & Tracker Views,Decision Tracker,Odisha HUDD Finance & Governance Dashboard,"Searchable master list and activity/Action Tracker for decisions and action items with status, priority, assignee, and vertical filters.",Capability,Draft,app/action-items/page.tsx:407 (HUDD schemes copy),Priority/status vocabularies; vertical filter source,Authenticated; list scoped by VIEW_ALL_DATA or assignment/create/update rights,Action Item Lifecycle; Verticals master,Orphan components/ActionTracker.tsx is unused mock — not part of this capability.
Action Item Create (Standalone),Decision Tracker,Odisha HUDD Finance & Governance Dashboard,"Dedicated create form for title, description, scheme, priority, due date, performers, reviewers, optional meeting link, and self-approve.",Capability,Draft,None,Page role gate (currently TASU-only) vs CREATE_ACTION_ITEMS permission,Page: UserRole.TASU; API: CREATE_ACTION_ITEMS,Schemes; Meetings; Directory users,ACS is seeded CREATE_ACTION_ITEMS but cannot open /action-items/create due to role guard — mismatch?
Action Item Lifecycle & Review,Decision Tracker,Odisha HUDD Finance & Governance Dashboard,"Detail page for status workflow (In Progress → Under Review → Completed/Reject), meeting-attributed progress notes, field edits, reassignment, archive, and delete.",Capability,Draft,"app/action-items/[id]/page.tsx:539,558 (fallback designation HUDD Officer)",Status machine; OVERDUE automation; designation fallback text,UPDATE_ACTION_ITEMS / CREATE_ACTION_ITEMS / APPROVE_ACTION_ITEMS / assignee-reviewer rules,Dashboard Meetings; User directory,OVERDUE exists in enum/filters but no in-app job sets it automatically.
Action Item Proof Upload,Decision Tracker,Odisha HUDD Finance & Governance Dashboard,API registers a proof file name/URL against an action item and can move status to PROOF_UPLOADED; create-page ProofUpload control is stubbed and detail page never calls the client helper.,Capability,Draft,None,Binary storage strategy; when proof is mandatory,UPLOAD_PROOF or UPDATE_ACTION_ITEMS,File model; Action Item Lifecycle,Feature incomplete in UI — include as draft Capability or defer?
Meeting Decision Type (Schema-Only),Decision Tracker,Odisha HUDD Finance & Governance Dashboard,"Schema distinguishes action_item vs meeting_decision, and seed data uses meeting_decision, but runtime UI/APIs default to action_item and reports ignore the type.",Capability,Draft,Seed content only (Odisha-specific titles in prisma/seed_dashboards.ts),Whether to expose type in UI and filter meeting-report key decisions by type/date,CREATE_ACTION_ITEMS (if exposed),Action Item Create; Meeting Report Pack,"Is meeting_decision deprecated, unfinished, or required for reports?"
Meeting Report Pack (Web + PDF),Reports,Odisha HUDD Finance & Governance Dashboard,"Generate a printable/web and PDF briefing pack for a dashboard meeting (topics, presentations, finance, schemes, KPIs, key decisions) with filters.",Capability,Draft,"components/meeting-report/MeetingReportContent.tsx:209-210; lib/meeting-report-pdf-server.tsx:515,524-525; app/reports/meeting/[meetingId]/page.tsx:81 (Government of Odisha, Housing & Urban Development Department, HUDD filenames/author)","Department/state header, logo, PDF author/filename prefix, report section composition",Page roles VERTICAL_HEAD/ACS/TASU; API VIEW_ALL_DATA or VIEW_ASSIGNED_DATA (EXPORT_REPORTS unused),Meetings; Financial; KPIs; Action Items; Materials,EXPORT_REPORTS is seeded but not checked; key-decisions filtering in copy may not match code.
Pendance / Adoption Report (Web + PDF),Reports,Odisha HUDD Finance & Governance Dashboard,Per-meeting report showing officer KPI/action completion and financial update activity for the meeting window; printable and PDF download.,Capability,Draft,components/pendance-report/PendanceReportContent.tsx:35-36; pendance PDF server (Government of Odisha; HUDD Pendance Report filename),Department header; week-boundary rules; audience roles,Same as Meeting Report Pack,Meetings; KPIs; Action Items; Financial snapshots,Distinct from My Tasks inline Pendance section for Vertical Heads — keep both?
Reports Hub,Reports,Odisha HUDD Finance & Governance Dashboard,Landing page to pick a meeting and open Meeting Pack or Pendance report.,Capability,Draft,app/reports/page.tsx:73 (Numbered HUDD briefing copy),Report catalog entries and branding copy,"UserRole VERTICAL_HEAD, ACS, TASU",Meeting Report Pack; Pendance Report,
My Tasks Hub,My Tasks,Odisha HUDD Finance & Governance Dashboard,"Personal landing hub with cards for pending KPI entry/review, decision-tracker work, and financial entry shortcuts, plus sidebar pending badges.",Capability,Draft,None,Hub access rule (permissions OR pending assignee); badge urgency thresholds,ENTER_FINANCIAL_DATA / ENTER_KPI_DATA / UPDATE_ACTION_ITEMS / CREATE_ACTION_ITEMS or pending assigned items,KPI Entry; Decision Tracker; Financial Entry; Pendance Section,
My Tasks Inline Pendance (Vertical Head),My Tasks,Odisha HUDD Finance & Governance Dashboard,Embedded meeting-scoped task table on My Tasks for Vertical Heads to work pending KPI/action reviews without opening the full report.,Capability,Draft,None,Which roles see the inline section (hardcoded VERTICAL_HEAD today),UserRole.VERTICAL_HEAD on My Tasks page,Pendance Report data; KPI/Action review APIs,Should ACS/TASU also get this operational view?
Command Centre / Overview Dashboard,Command Centre,Odisha HUDD Finance & Governance Dashboard,"Primary landing dashboard with scheme utilisation, IFMS trend, lapse risk, last-meeting summary, pending approvals, AI alerts, and scheme drill-down.",Capability,Draft,"app/page.tsx:16 (Loading HUDD workspace); components/CommandCentre.tsx:34-77 (MOCK_WHAT_CHANGED_SINCE_LAST_MEETING cards with Odisha figures e.g. Budget Estimates ₹10,726.87 Cr, Pothole-Free ULBs)",Remove or replace mock cards; department labels; whether VIEW_COMMAND_CENTRE should gate access,Page: authenticated only (VIEW_COMMAND_CENTRE seeded for ACS but not enforced),Financial entries; Meetings; Action Items; AI Alerts; Scheme Modal,Mock cards still rendered beside live APIs — treat mock block as non-capability until removed?
Conversational Urban Assistant,AI Insights,Odisha HUDD Finance & Governance Dashboard,"In-app Q&A assistant that answers from live financial, KPI, action-item, and meeting data (rule/data-backed; global modal and in-meeting panel).",Capability,Draft,lib/assistant-query.ts:45 (HUDD); components/ConversationalAI.tsx:64-83 (suggested queries referencing HUDD/PMAY-U/SUJALA); AppShell Urban Assistant label,"Assistant name, suggested prompts, department framing, data scopes",VIEW_ALL_DATA or VIEW_ASSIGNED_DATA (scheme-scoped when assigned-only),Financial/KPI/Action/Meeting data APIs,Mic control appears non-functional — exclude speech from Capability until wired?
Meeting-Wise Progress Agent,AI Insights,Odisha HUDD Finance & Governance Dashboard,"Admin-configurable agent (rule-based, LLM-based, or both) that generates progress insights since the last dashboard meeting and stores them for display.",Capability,Draft,lib/llm.ts:22 (HUDD financial analyst prompt); lib/agent-runner.ts:606 (HUDD advisor prompt); hardcoded /hudd-dashboard API paths in admin agent UI,LLM system prompts; department name; schedule runDay; email dispatch (referenced but not implemented in run route),MANAGE_PERMISSIONS or MANAGE_FINANCIAL_YEARS,AgentConfig/AgentInsight models; optional LLM provider; Dashboard Meetings,No in-repo cron — external scheduler assumed? Email to Nodal/ACS referenced in UI but not implemented.
AI Alerts / Progress Monitor Card,AI Insights,Odisha HUDD Finance & Governance Dashboard,Surfaces the latest successful agent insights on the Command Centre (and related pages) as administrative alerts.,Capability,Draft,Hardcoded /hudd-dashboard/api/v1/dashboard/ai-alerts fetch path; LLM prompts as above,Card title; when alerts refresh,VIEW_ALL_DATA or VIEW_ASSIGNED_DATA,Meeting-Wise Progress Agent,
Organisations Master Data,Administration,Odisha HUDD Finance & Governance Dashboard,CRUD for organisation names used on officer profiles.,Standard,Draft,None beyond example copy on system settings page,Master list contents per client,MANAGE_PERMISSIONS (write); MANAGE_USERS or MANAGE_PERMISSIONS (read),User Admin CRUD,
Verticals Master Data,Administration,Odisha HUDD Finance & Governance Dashboard,CRUD for vertical codes/names used to classify action items (and related filters).,Standard,Draft,app/admin/system/page.tsx placeholders (e.g. WATER),Vertical taxonomy per department,Same as Organisations Master Data,Decision Tracker filters; Action Items,Scheme.verticalName is free text and not FK-linked to Verticals — consolidate?
Sections Master Data,Administration,Odisha HUDD Finance & Governance Dashboard,CRUD for organisational sections that officers can belong to (many-to-many).,Standard,Draft,"app/admin/system/page.tsx:22 examples (Accounts, PHE, Municipal-II)",Section list per department,Same as Organisations Master Data,User Admin CRUD,
ULBs Master Data,Administration,Odisha HUDD Finance & Governance Dashboard,CRUD for Urban Local Body names that can be linked to officers.,Standard,Draft,app/admin/system/page.tsx:273 placeholder Bhubaneswar MC,ULB list for the state/department,Same as Organisations Master Data,User Admin CRUD,
Designations Master Data,Administration,Odisha HUDD Finance & Governance Dashboard,CRUD for official designation titles linked to officers.,Standard,Draft,None significant,Designation list per department,Same as Organisations Master Data,User Admin CRUD,
Release Notes / What's New,Changelog,Odisha HUDD Finance & Governance Dashboard,Syncs releases from data/releases.json into DB; shows changelog history; TASU users get an unseen-release popup; current version shown on login/profile.,Standard,Draft,app/changelog/page.tsx:116; components/WhatsNewNotification.tsx:120 (What's New in HUDD),Product name in titles; which roles see the popup (TASU-only today); release authoring workflow (file-only),Changelog page: authenticated; unseen popup: TASU; APIs VIEW_*,Release / ChangelogEntry / UserSeenRelease models,No admin UI to edit releases (JSON sync only; write APIs return 405) — operational process?
Officer Profile View,Profile,Odisha HUDD Finance & Governance Dashboard,"Shows the signed-in officer’s name, department, designation, role, and links to software version/changelog; hosts password change.",Standard,Draft,"app/profile/page.tsx:126,163 (HUDD Officer; HUDD Nexus Dashboard)",Profile field set (orgs/sections/ULB present in session but not all rendered),Authenticated,Session Profile Hydration; Release Notes; Self-Service Password Change,
App Shell Navigation & Branding,Shell / UX,Odisha HUDD Finance & Governance Dashboard,"Role-filtered sidebar (mobile drawer), HUDD logo/header branding, clock in Asia/Kolkata, logout, and navigation to all modules.",Standard,Draft,"components/Sidebar.tsx:537-538,677 (HUDD logo; default department Housing & Urban Development Department); components/AppShell.tsx:87; lib/hudd-logo.ts:4; Asia/Kolkata in AppShell","Logo, department name, timezone, nav information architecture, basePath",Nav items use UserRole arrays; some further permission gates,All feature modules,Admin nav hardcoded to TASU role rather than MANAGE_* permissions.
Text Size Accessibility Control,Shell / UX,Odisha HUDD Finance & Governance Dashboard,Three-step text scaling persisted in localStorage for officers working on varied devices.,Capability,Draft,components/FontScaleProvider.tsx:5 (key hudd-text-scale),Storage key prefix; scale steps,None,App Shell,
